district_name,state_name,year,season,crop,crop_area,crop_production,yield,crop_type,avg_temp,total_precip,avg_humidity,avg_windspeed,district_x,state_x,data_points,district_y,state_y,loamy_alfisols_level,ustalf/ustolls_level,loamy_alfisol_level,vertisols_level,vertic_soils_level,inceptisols_level,verrtisols_level,orthids_level,sandy_alfisol_level,sandy_alfisols_level,vertic_sols_level,udupts/udalfs_level,vrtic_soils_level,verti_sols_level,pssaments_level,vertic_osils_level,pssamnets_level,udolls/udalfs_level,innceptisols_level,crop_code,area_unit,production_unit,yield_unit
Balrampur,Chhattisgarh,2019,kharif,castor seed,7.0,3.0,0.43,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,Hectare,Tonnes,Tonnes/Hectare
East Garo Hills,Meghalaya,2017,kharif,tapioca,1278.0,7267.0,5.69,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702,Hectare,Tonnes,Tonnes/Hectare
Rajnandgaon,Chhattisgarh,2019,kharif,small millets,1741.0,788.0,0.45,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,Hectare,Tonnes,Tonnes/Hectare
Farrukhabad,Uttar Pradesh,2016,rabi,garlic,1273.0,8096.0,6.36,Spices,20.985027,29.84,34.500492,1.6101639,Farrukhabad,Uttar Pradesh,183.0,Farrukhabad,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,508,Hectare,Tonnes,Tonnes/Hectare
Kendujhar,Odisha,2017,zaid,wheat,25.0,57.3,2.29,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Bengaluru Urban,Karnataka,2018,kharif,onion,16.0,121.0,7.56,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,Hectare,Tonnes,Tonnes/Hectare
Bijapur,Chhattisgarh,2016,rabi,other  rabi pulses,9.0,3.0,0.33,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,Hectare,Tonnes,Tonnes/Hectare
Sivaganga,Tamil Nadu,2015,rabi,moong(green gram),1.0,1.0,1.0,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,Hectare,Tonnes,Tonnes/Hectare
Sirohi,Rajasthan,2015,rabi,small millets,1047.0,1571.0,1.5,Cereals,19.713417,4.65,29.210417,1.8013333,Sirohi,Rajasthan,120.0,Sirohi,Rajasthan,,,,,,,,,,,,,,,,,high_extreme,,,108,Hectare,Tonnes,Tonnes/Hectare
Villupuram,Tamil Nadu,2018,kharif,onion,176.0,1541.0,8.76,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,Hectare,Tonnes,Tonnes/Hectare
Kolhapur,Maharashtra,2017,rabi,gram,5400.0,4600.0,0.85,Pulses,23.397417,123.98,56.249397,2.0424175,Kolhapur,Maharashtra,182.0,Kolhapur,Maharashtra,,,,moderate,moderate,,,,,,,,,,,,,,,201,Hectare,Tonnes,Tonnes/Hectare
Raipur,Chhattisgarh,2015,rabi,wheat,2991.0,5756.0,1.92,Cereals,22.245054,63.3,59.71192,1.2814835,Raipur,Chhattisgarh,182.0,Raipur,Chhattisgarh,low,moderate,,very_low,,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Khammam,Telangana,2016,rabi,gram,44.0,57.0,1.3,Pulses,23.911,3.4,57.534084,1.821,Khammam,Telangana,120.0,Khammam,Telangana,,,,extreme,,,,,,moderate,,,,,,,,,,201,Hectare,Tonnes,Tonnes/Hectare
Koppal,Karnataka,2019,kharif,sesamum,6544.0,3954.0,0.6,Oilseeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,Hectare,Tonnes,Tonnes/Hectare
Dhalai,Tripura,2016,rabi,other  rabi pulses,48.0,40.0,0.83,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,Hectare,Tonnes,Tonnes/Hectare
Yamunanagar,Haryana,2019,whole_year,sugarcane,19900.0,1.5602e+06,78.4,Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,Hectare,Tonnes,Tonnes/Hectare
Balaghat,Madhya Pradesh,2018,whole_year,sweet potato,130.0,2770.0,21.31,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,Hectare,Tonnes,Tonnes/Hectare
Nandurbar,Maharashtra,2016,rabi,wheat,18400.0,37700.0,2.05,Cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Hectare,Tonnes,Tonnes/Hectare
Mandya,Karnataka,2015,rabi,other  rabi pulses,81.0,54.0,0.67,Pulses,22.956583,156.74,63.545918,2.0885,Mandya,Karnataka,120.0,Mandya,Karnataka,,,,,,,,,high_extreme,,,,,,,,,,,288,Hectare,Tonnes,Tonnes/Hectare
Barabanki,Uttar Pradesh,2015,kharif,rice,186626.0,513408.0,2.75,Cereals,31.39771,607.31,49.55299,2.1002803,Barabanki,Uttar Pradesh,214.0,Barabanki,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,101,Hectare,Tonnes,Tonnes/Hectare
Jalore,Rajasthan,2018,kharif,other kharif pulses,36.0,16.0,0.44,Pulses,31.477757,297.86,44.371918,3.0717757,Jalore,Rajasthan,214.0,Jalore,Rajasthan,,,,,,,,,,,,,,,high_extreme,,,,,288,Hectare,Tonnes,Tonnes/Hectare
Sidhi,Madhya Pradesh,2018,kharif,bajra,6.0,3.0,0.5,Cereals,29.008785,919.79,60.335747,2.3716822,Sidhi,Madhya Pradesh,214.0,Sidhi,Madhya Pradesh,,extreme,,,low,,,,,,,,,,,,,,,103,Hectare,Tonnes,Tonnes/Hectare
Deoria,Uttar Pradesh,2016,kharif,sugarcane,8801.0,550943.0,62.6,Sugar,30.914534,993.06,59.7871,2.0888784,Deoria,Uttar Pradesh,214.0,Deoria,Uttar Pradesh,,,,,,high_extreme,,,,,,,,,,,,,,401,Hectare,Tonnes,Tonnes/Hectare
Visakhapatanam,Andhra Pradesh,2016,kharif,onion,49.0,1160.0,23.67,Vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,Hectare,Tonnes,Tonnes/Hectare
Kabirdham,Chhattisgarh,2017,rabi,gram,72571.0,56016.0,0.77,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,Hectare,Tonnes,Tonnes/Hectare
